Customer ID,Recency,Frequency,Monetary,Churned,Churn_Predicted,Churn_Probability
12439,332,1,76.52000000000001,1,1,0.9949
12440,112,1,250.69,1,1,0.6151
12441,16,1,155.55,1,1,0.6038
12445,70,1,301.58000000000004,0,0,0.4541
12449,88,1,678.6,0,0,0.3308
12450,48,3,490.32,0,0,0.198
12451,113,3,3634.36,0,0,0.0795
12454,45,3,12931.44,0,0,0.0642
12455,95,3,1746.6599999999999,0,0,0.1299
12457,84,1,512.6800000000001,0,0,0.4479
12458,77,2,715.09,0,0,0.3043
12459,255,1,398.36,1,1,0.8359
12460,106,1,296.65,1,1,0.6415
12467,73,1,132.8,1,1,0.7549
12468,176,3,2581.2,0,0,0.2011
12469,172,2,3070.54,1,0,0.3591
12470,339,1,211.95,1,1,0.7461
12471,7,40,18034.99,0,0,0.0031
12472,19,12,9230.05,0,0,0.0121
12474,28,11,4616.66,0,0,0.0217
12475,59,1,396.26,0,0,0.4658
12476,11,8,6433.9400000000005,0,0,0.0068
12477,49,3,7056.63,0,0,0.0988
12480,49,3,1949.22,0,0,0.1598
12481,4,6,6695.03,0,0,0.0122
12482,225,27,21941.72,1,1,0.8987
12483,28,11,2158.2000000000003,0,0,0.0498
12484,133,5,1617.78,0,0,0.1998
12485,179,1,708.1,1,0,0.4515
12486,81,1,917.28,1,1,0.5771
12490,28,9,3372.77,0,0,0.0216
12492,53,1,380.0,0,0,0.4792
12494,8,4,523.72,0,0,0.207
12495,290,1,277.4,1,1,0.6886
12496,270,2,45.34,1,1,0.7693
12497,50,2,5043.400000000001,0,0,0.3316
12499,210,1,357.72,1,1,0.5619
12500,84,7,1499.39,0,0,0.1481
12503,234,1,896.0,1,1,0.7532
12504,67,2,261.0,0,0,0.3363
12505,58,1,787.2,1,0,0.4932
12507,234,1,455.25,0,0,0.4191
12510,109,4,1900.5800000000002,0,0,0.184
12511,78,1,3084.02,1,1,0.5562
12514,291,1,580.08,0,1,0.5205
12515,3,1,278.7,1,1,0.6506
12516,80,2,1102.56,0,0,0.2963
12519,126,1,349.7,0,0,0.3835
12523,24,11,2236.02,0,0,0.0363
12524,38,9,5848.39,0,0,0.0241
12525,147,3,883.73,1,0,0.4465
12527,144,2,386.8,0,1,0.5391
12529,178,1,316.48,1,1,0.6123
12530,65,5,1880.98,0,0,0.1246
12531,336,1,1645.98,0,0,0.3459
12533,277,1,401.97,1,1,0.815
12537,58,1,612.94,1,1,0.5406
12538,28,1,276.5,0,0,0.4528
12539,100,1,469.34000000000003,0,0,0.4035
12540,11,15,8082.66,0,0,0.0024
12542,133,2,481.88,1,1,0.5343
12543,98,1,840.25,1,1,0.5737
12547,150,1,147.78,0,1,0.6207
12549,225,5,1570.68,1,1,0.6066
12551,7,1,168.0,1,0,0.3032
12553,35,2,826.47,0,0,0.3274
12554,98,1,384.5,1,0,0.4275
12557,21,3,4772.54,0,0,0.1206
12562,35,2,1041.18,0,0,0.3203
12563,58,1,221.24,1,1,0.5668
12567,17,7,3858.58,0,0,0.0317
12568,294,1,52.0,1,1,0.7715
12573,31,4,556.87,0,0,0.2259
12575,107,2,568.82,1,1,0.5502
12576,42,3,746.89,0,0,0.1859
12577,8,5,975.84,0,0,0.2584
12578,34,2,1623.94,0,0,0.1398
12580,226,1,583.2,0,0,0.3413
12582,72,2,1469.04,0,0,0.1227
12583,23,12,5844.62,0,0,0.0405
12585,1,1,1154.85,0,1,0.6052
12586,24,2,1443.38,0,0,0.1704
12588,49,2,543.88,0,0,0.3081
12589,71,4,2720.23,0,0,0.1456
12591,40,2,746.1,0,0,0.3101
12592,169,2,1322.04,0,0,0.2122
12594,28,5,1681.89,0,0,0.0557
12595,154,1,281.02,1,1,0.7221
12598,113,3,1385.01,0,0,0.1339
12599,31,6,1138.14,0,0,0.2054
12600,7,10,1933.72,0,0,0.0423
12601,54,1,86.2,0,0,0.4826
12605,26,3,1124.95,1,0,0.3174
12608,54,1,415.79,1,0,0.4946
12609,24,5,1762.41,0,0,0.0756
12613,37,4,1977.88,0,0,0.1162
12615,63,4,3269.79,0,0,0.1655
12616,38,1,381.8,0,0,0.4373
12619,210,1,140.14,0,0,0.4434
12621,7,17,10925.18,0,0,0.0025
12623,66,6,3046.7400000000002,0,0,0.0621
12625,159,2,2265.06,0,0,0.3204
12629,35,2,1198.22,1,1,0.5383
12631,106,5,2841.07,0,0,0.1497
12632,170,2,714.88,1,0,0.3774
12633,32,3,3226.18,0,0,0.0893
12634,198,1,360.0,1,1,0.6605
12635,42,2,1115.23,0,0,0.3165
12637,28,4,2280.91,0,0,0.0893
12638,289,1,169.8,0,1,0.657
12639,84,2,706.27,0,0,0.3914
12643,35,5,4762.18,0,0,0.0339
12644,80,3,1422.58,0,0,0.2015
12645,58,4,1584.1200000000001,0,0,0.2261
12647,7,27,11958.33,0,0,0.0014
12648,87,3,738.95,0,0,0.2473
12649,32,5,1527.14,0,0,0.1003
12651,28,3,263.75,0,0,0.179
12652,84,1,97.05000000000001,0,0,0.4382
12653,176,1,1950.98,0,0,0.4076
12655,73,1,243.35000000000002,1,1,0.5907
12656,75,3,2104.66,0,0,0.2081
12661,85,1,162.0,1,1,0.6253
12662,23,10,2830.2400000000002,0,0,0.0207
12663,274,2,185.4,1,1,0.779
12664,164,1,559.08,0,0,0.3787
12665,67,2,214.6,0,0,0.4601
12666,43,1,1248.42,1,1,0.6531
12668,5,6,7126.75,0,0,0.0123
12670,35,2,692.24,0,0,0.3231
12671,255,1,2622.48,1,1,0.7718
12672,245,1,181.15,0,1,0.7533
12673,51,1,565.5,0,0,0.4524
12675,203,2,873.25,1,0,0.4683
12676,58,4,1241.7,0,0,0.2435
12677,205,2,359.1,1,1,0.7721
12678,3,7,16317.0,0,0,0.0891
12681,4,23,15584.79,0,0,0.0228
12682,15,19,9700.74,0,0,0.0017
12683,15,6,2680.85,0,0,0.012
12686,21,1,71.14,1,1,0.8203
12687,130,1,1858.91,1,1,0.7408
12691,7,2,278.6,0,0,0.2794
12692,287,1,110.95,1,1,0.9525
12693,46,3,703.11,0,0,0.2032
12694,70,1,901.68,0,1,0.521
12695,177,3,789.02,0,0,0.3839
12696,84,2,731.91,1,0,0.4075
12698,240,1,285.75,1,1,0.798
12699,67,1,566.11,1,1,0.5001
12701,179,4,1522.7,0,0,0.1962
12703,283,3,632.98,0,0,0.3226
12705,7,6,5427.81,0,0,0.0245
12708,18,8,2107.7200000000003,0,0,0.0544
12709,7,18,20079.67,0,0,0.0029
12711,261,2,1213.05,1,1,0.7123
12712,15,9,2175.73,0,0,0.0243
12714,37,6,7964.2,0,0,0.024
12717,240,1,227.93,0,1,0.8901
12720,7,6,2320.68,0,0,0.0439
12721,4,3,1517.55,0,0,0.1043
12724,33,3,1160.11,0,0,0.2073
12725,21,3,1906.76,1,0,0.3598
12726,7,5,1431.78,0,0,0.0587
12727,92,3,1464.8300000000002,0,0,0.1323
12728,33,1,197.84,0,0,0.4567
12730,171,1,703.25,1,0,0.3395
12731,14,6,7807.7,0,0,0.0118
12733,39,3,2040.07,0,0,0.197
12734,2,3,603.65,1,1,0.6884
12738,21,1,137.35,1,1,0.5644
12739,44,1,1445.69,0,0,0.3132
12741,182,1,236.07,1,1,0.8049
12742,275,1,1201.52,1,1,0.6949
12744,109,4,4037.77,0,0,0.0621
12745,136,2,723.85,1,0,0.389
12746,190,1,254.55,1,1,0.7632
12747,11,14,4376.74,0,0,0.0166
12748,1,144,19834.57,0,0,0.1018
12749,49,4,2806.48,0,0,0.0958
12751,94,1,268.27,1,1,0.5265
12753,12,1,3590.59,0,0,0.1716
12755,15,10,5218.71,0,0,0.0051
12758,109,4,4656.97,0,0,0.0621
12759,35,4,2753.04,0,0,0.0742
12760,105,1,317.8,1,1,0.5717
12761,114,1,712.95,1,1,0.7192
12763,19,1,320.08,0,0,0.1552
12765,122,6,1299.58,1,0,0.4994
12766,16,3,2658.65,0,0,0.1837
12767,25,1,949.82,1,1,0.6575
12768,100,1,168.69,1,1,0.661
12770,106,1,1895.0,0,0,0.2845
12771,135,1,226.29999999999998,1,1,0.6358
12773,213,1,124.25,1,1,0.709
12774,185,1,83.7,1,1,0.9197
12775,38,2,270.08000000000004,0,0,0.4282
12776,317,1,27.5,1,1,0.9655
12777,107,1,519.45,1,1,0.7141
12778,46,3,848.4499999999999,0,0,0.2475
12779,21,6,2369.09,0,0,0.0469
12780,248,1,322.4,1,1,0.8485
12782,7,7,2302.82,0,0,0.0473
12784,179,1,1034.33,0,1,0.5179
12785,14,2,593.5,1,1,0.5504
12786,259,1,668.5000000000001,1,1,0.6341
12787,63,1,380.52000000000004,0,0,0.4912
12788,113,4,384.90000000000003,1,1,0.7602
12789,162,2,148.5,0,0,0.3637
12790,60,1,251.92999999999998,0,1,0.6162
12791,23,5,656.83,1,0,0.289
12792,184,1,370.47,0,1,0.5881
12793,21,2,387.85,0,0,0.3811
12796,278,1,351.0,1,1,0.8433
12797,15,2,468.08000000000004,1,0,0.4843
12798,71,1,1533.89,0,0,0.2679
12799,179,1,219.35,1,1,0.7952
12800,120,2,500.25,1,1,0.5927
12801,150,1,871.82,1,1,0.7602
12802,94,4,1788.84,0,0,0.2222
12803,43,1,1017.81,1,1,0.5386
12804,115,2,325.37,1,1,0.6481
12805,31,4,1230.95,1,0,0.4627
12806,222,2,2558.96,1,1,0.7126
12807,33,1,250.35,1,1,0.5421
12808,18,3,394.45,0,0,0.1629
12809,215,2,979.03,0,0,0.2659
12810,184,2,534.99,1,1,0.5333
12811,28,2,435.05,0,0,0.3833
12813,151,3,1621.8,1,0,0.4993
12817,49,2,444.94,0,0,0.4539
12819,108,1,540.52,1,1,0.7353
12820,47,6,1598.88,0,0,0.0866
12821,261,1,128.08,0,1,0.6043
12823,44,13,4742.0,0,0,0.0891
12825,171,2,518.63,1,1,0.5447
12826,15,5,1022.83,0,0,0.1161
12829,10,2,178.05,0,0,0.2225
12831,113,2,236.06,0,1,0.5628
12835,77,36,4956.52,1,1,0.6272
12836,38,10,3541.4,0,0,0.0338
12837,219,1,528.5600000000001,0,0,0.2179
12838,23,9,2694.75,0,0,0.0228
12839,6,11,3845.37,0,0,0.0083
12840,86,3,1315.2,0,0,0.1323
12841,19,17,3472.61,0,0,0.0289
12842,54,1,401.8,0,0,0.4436
12843,32,19,4687.82,0,0,0.0281
12844,91,2,322.64,0,0,0.2155
12847,37,1,765.36,0,0,0.3435
12848,325,1,208.0,1,1,0.813
12849,31,4,2023.3300000000002,0,0,0.1139
12850,95,1,330.0,1,1,0.5088
12851,127,1,148.95,0,1,0.5336
12853,77,5,1950.4,0,0,0.169
12854,210,3,1132.28,0,0,0.184
12855,22,4,612.84,1,0,0.3513
12857,85,4,2581.6,0,0,0.1715
12858,33,1,147.27,1,1,0.6359
12859,108,1,575.1,1,1,0.763
12860,343,1,54.22,1,1,0.9801
12861,269,1,68.25,1,1,0.9559
12862,75,2,984.62,1,0,0.3581
12863,28,5,2271.35,0,0,0.0246
12864,157,1,152.45,0,1,0.6461
12865,28,2,1755.24,0,0,0.1223
12866,124,2,593.23,0,0,0.3698
12867,9,6,3896.22,0,0,0.0139
12868,23,3,640.0,0,0,0.2713
12869,331,1,337.66999999999996,1,1,0.9291
12870,25,3,1676.95,1,0,0.368
12871,89,1,363.38,0,1,0.5321
12872,15,10,2655.3,0,0,0.0092
12873,47,2,1653.3,0,0,0.1146
12874,35,2,873.42,1,0,0.4438
12875,12,4,1307.5200000000002,0,0,0.2118
12876,44,2,1698.77,0,0,0.1294
12877,8,9,1556.43,0,0,0.0319
12880,31,2,640.13,1,0,0.3808
12887,33,1,222.4,1,1,0.543
12889,30,4,385.46000000000004,1,0,0.4947
12890,37,1,329.3,0,0,0.3903
12891,108,8,509.5,0,0,0.1654
12892,46,1,263.38,1,1,0.6221
12894,225,1,157.35,1,1,0.7125
12897,31,2,297.75,0,1,0.5013
12898,113,2,296.21,1,1,0.6738
12899,63,1,366.4,1,1,0.519
12900,72,1,340.33000000000004,1,1,0.5308
12903,78,1,833.5300000000001,1,1,0.6135
12905,226,2,1018.42,1,0,0.3898
12907,45,2,508.91,1,0,0.4261
12908,30,3,1026.0,0,0,0.2442
12909,74,3,924.52,0,0,0.2286
12910,29,5,2721.48,0,0,0.028
12911,201,1,1651.72,1,1,0.7401
12913,17,7,3475.27,0,0,0.017
12914,50,1,223.98,1,1,0.5645
12915,22,3,811.1,0,0,0.1998
12916,92,3,1534.78,0,0,0.1524
12917,50,4,2212.3,0,0,0.138
12920,221,1,184.96,0,1,0.7369
12921,16,35,16890.25,0,0,0.0184
12923,40,2,597.6,0,0,0.3203
12924,43,5,1255.3500000000001,0,0,0.1827
12925,242,1,35.28,0,1,0.9602
12926,61,3,1152.82,1,0,0.3888
12927,44,1,197.31,1,1,0.5099
12928,9,8,2634.53,0,0,0.0169
12931,6,42,49199.63,0,0,0.0169
12932,189,8,1698.56,1,1,0.5806
12933,29,4,873.31,0,0,0.2648
12935,25,8,2083.16,0,0,0.1004
12937,113,3,1278.77,0,0,0.1341
12939,29,12,13683.0,0,0,0.0122
12942,15,1,258.75,0,0,0.2922
12943,208,2,496.5,1,0,0.2921
12944,4,1,286.95,0,1,0.637
12945,306,1,437.16,0,1,0.6477
12946,86,1,324.45,1,1,0.5382
12947,22,1,304.04,0,0,0.3687
12949,32,13,9564.78,0,0,0.0119
12951,36,9,2149.65,0,0,0.031
12953,172,1,498.96,0,0,0.2264
12954,288,1,162.45,1,1,0.6855
12956,334,1,137.12,0,1,0.6791
12957,191,4,3581.48,0,0,0.2338
12958,49,2,467.34,1,0,0.4173
12959,133,1,150.95,1,1,0.6915
12960,63,4,1322.0700000000002,1,0,0.3142
12961,28,1,211.99,1,1,0.5496
12963,15,5,1744.96,0,0,0.0267
12964,86,1,132.24,1,1,0.7745
12967,7,3,2938.52,1,0,0.3643
12969,252,1,122.45,1,1,0.7446
12970,30,5,810.14,0,0,0.2399
12971,3,34,4889.43,0,0,0.1045
12972,63,4,1161.2,1,0,0.4106
12973,63,1,385.55,1,0,0.486
12974,215,1,264.15,0,1,0.5802
12975,86,5,1658.46,1,0,0.125
12976,28,7,2417.78,0,0,0.0256
12977,151,3,474.64,0,0,0.3721
12978,35,4,1557.24,1,0,0.3473
12980,8,12,9006.0,0,0,0.0022
12982,44,7,2354.27,0,0,0.0439
12983,248,1,490.08,1,1,0.6932
12986,78,10,2729.84,1,0,0.2455
12987,70,3,753.51,0,0,0.2376
12989,14,18,6417.04,0,0,0.0012
12990,67,4,546.0,0,0,0.2325
12991,39,1,261.06,0,0,0.4885
12993,95,4,844.87,0,0,0.1814
12996,25,1,355.5,1,1,0.617
12997,44,4,884.02,0,0,0.2189
12998,142,3,920.08,1,0,0.4749
13000,14,1,201.75,0,0,0.2257
13001,54,19,13386.75,0,0,0.026
13002,66,2,293.18,0,0,0.424
13004,7,18,6045.41,0,0,0.0014
13005,81,2,485.98,0,0,0.3365
13007,229,1,175.25,1,1,0.7143
13008,47,1,193.35,0,0,0.4791
13009,322,1,234.0,1,1,0.8067
13010,24,2,330.12,1,1,0.5396
13011,21,1,50.550000000000004,1,1,0.8401
13012,79,3,1310.99,0,0,0.1162
13013,21,17,7058.320000000001,0,0,0.0097
13014,82,1,1914.8,0,0,0.3151
13015,88,6,3240.14,0,0,0.0691
13018,63,7,2485.46,0,0,0.0338
13019,29,4,784.65,1,0,0.2673
13020,212,2,618.96,1,0,0.1506
13021,8,8,2194.5,0,0,0.0343
13022,79,1,50.3,1,1,0.9294
13023,178,1,651.13,0,0,0.2937
13024,120,2,555.87,1,0,0.4754
13026,138,3,421.74,0,1,0.5669
13027,4,14,11767.2,0,0,0.0017
13029,3,3,1062.3,0,0,0.1302
13030,18,1,402.36,0,0,0.1653
13031,57,5,3292.84,1,0,0.2715
13032,42,7,1805.78,0,0,0.0596
13033,7,2,220.55,1,0,0.3923
13034,19,2,279.91,0,0,0.3136
13035,81,1,442.32,0,0,0.4861
13036,334,1,307.1,1,1,0.8692
13037,49,8,2720.69,0,0,0.0601
13039,233,3,847.9300000000001,1,0,0.4831
13041,100,4,799.13,1,0,0.2522
13042,248,2,823.44,1,1,0.6524
13044,141,10,4287.58,0,0,0.2437
13045,51,2,503.64,0,0,0.3276
13046,106,1,319.94,0,0,0.4848
13047,23,16,5251.32,0,0,0.0265
13048,86,5,2229.7200000000003,0,0,0.1386
13049,39,2,751.5600000000001,0,0,0.3078
13050,4,20,6916.14,0,0,0.0012
13051,228,2,155.8,1,1,0.6501
13052,70,6,2770.33,0,0,0.0796
13053,271,1,127.65,1,1,0.6653
13055,79,1,1106.7,0,0,0.3684
13056,201,1,209.48,1,1,0.7177
13057,180,3,709.59,1,0,0.4821
13059,62,9,2108.37,0,0,0.0744
13063,130,1,188.4,1,1,0.7615
13064,199,2,561.25,0,0,0.2617
13065,22,5,1055.05,1,0,0.2865
13067,59,2,393.05,0,0,0.4783
13069,11,18,5497.13,0,0,0.0033
13070,109,2,368.7,0,0,0.35
13071,262,1,129.22,1,1,0.752
13073,61,2,418.08,1,0,0.4741
13074,160,3,1065.44,1,1,0.5023
13076,107,1,135.4,1,1,0.8316
13077,16,6,1687.76,0,0,0.0421
13078,9,29,14952.25,0,0,0.0512
13079,67,1,199.08,0,0,0.4493
13080,51,3,222.65,0,0,0.1745
13081,20,18,28582.19,0,0,0.0103
13082,74,10,3529.94,0,0,0.0913
13083,75,1,91.67999999999999,0,0,0.4311
13084,141,1,122.39999999999999,1,1,0.8566
13085,329,2,920.4,0,1,0.5606
13086,32,1,439.33000000000004,1,1,0.5685
13088,67,1,236.11,1,1,0.5643
13089,8,109,57479.54,0,0,0.0452
13090,15,12,5174.32,0,0,0.0054
13092,9,8,1847.9,0,0,0.0233
13093,8,47,48163.82,0,0,0.0119
13094,18,2,505.80000000000007,0,0,0.2274
13096,44,1,419.7000000000001,1,1,0.5233
13097,10,15,6079.31,0,0,0.0025
13101,148,3,594.21,0,0,0.3301
13102,10,15,5629.93,0,0,0.005
13103,87,2,465.70000000000005,0,0,0.2737
13104,4,4,712.38,0,0,0.2123
13105,86,1,72.0,1,1,0.8144
13106,63,1,526.96,0,0,0.4838
13107,63,5,3721.45,0,0,0.0696
13108,22,2,748.46,1,1,0.5312
13109,201,1,347.49,0,1,0.5163
13110,87,4,1106.02,0,0,0.2103
13112,190,1,20.599999999999998,1,1,0.9115
13113,16,14,6357.08,0,0,0.0075
13115,28,6,3199.92,0,0,0.0247
13117,15,12,1658.9,0,0,0.0144
13118,26,4,1217.6,0,0,0.3945
13119,318,1,134.9,1,1,0.8184
13123,122,2,506.75,1,1,0.5907
13124,9,2,2141.65,0,0,0.017
13125,173,1,148.62,1,1,0.6952
13126,16,7,1898.61,0,0,0.0612
13128,281,1,263.5,1,1,0.7096
13129,102,2,233.25,1,1,0.7172
13131,68,4,2240.4700000000003,0,0,0.1354
13133,109,1,90.65,0,0,0.2375
13134,52,2,681.65,0,0,0.2577
13135,140,1,275.45,0,0,0.4654
13136,25,7,3117.86,0,0,0.0174
13137,36,8,3983.65,0,0,0.0345
13138,22,2,504.85,0,0,0.4241
13139,87,1,3138.04,0,0,0.4241
13140,16,3,790.71,0,0,0.2374
13141,35,11,4915.88,0,0,0.0461
13143,234,1,405.1,1,1,0.7555
13144,81,1,24.4,0,0,0.453
13145,21,4,805.0,0,0,0.204
13148,14,14,4783.06,0,0,0.0209
13150,134,3,449.96999999999997,1,1,0.7581
13151,275,2,1196.8400000000001,0,0,0.4647
13152,67,7,2146.38,1,0,0.2993
13154,49,2,1287.74,1,0,0.3051
13155,18,3,778.4200000000001,0,0,0.1454
13156,35,3,1586.54,1,0,0.3408
13157,59,5,3946.14,0,0,0.0801
13158,37,1,307.12,0,0,0.3737
13161,150,1,359.38,0,1,0.608
13162,30,10,6001.59,0,0,0.0137
13163,259,1,17.65,1,1,0.9531
13164,219,2,372.2,1,1,0.7452
13165,1,2,784.32,0,0,0.2301
13166,64,1,458.73,0,1,0.5122
13167,40,1,333.82,0,0,0.4712
13168,192,1,541.14,0,0,0.2162
13169,212,1,127.2,0,1,0.5436
13172,50,1,69.6,1,1,0.9342
13173,17,9,1899.41,0,0,0.0219
13174,18,8,5972.31,0,0,0.0258
13175,232,1,512.3000000000001,1,0,0.4345
13177,80,1,229.75,0,1,0.5474
13178,10,10,8424.93,0,0,0.0026
13179,268,1,572.3100000000001,1,1,0.6253
13180,257,1,86.10000000000001,1,1,0.9403
13181,31,1,359.69,1,1,0.5924
13183,44,6,3078.4,0,0,0.0313
13187,273,3,92.34,0,0,0.183
13190,194,2,423.56,1,1,0.7381
13191,307,1,159.21,1,1,0.6358
13192,185,4,1646.64,0,0,0.1682
13194,71,1,412.08,0,0,0.4677
13195,64,1,136.73,1,1,0.6871
13196,93,3,1271.06,0,0,0.1455
13197,259,1,373.01000000000005,1,1,0.8385
13198,11,3,1957.54,0,0,0.1181
13199,8,30,6720.650000000001,0,0,0.0112
13201,152,4,1233.06,1,0,0.1962
13202,43,6,1260.1000000000001,1,0,0.3658
13203,36,5,1438.89,0,0,0.1048
13205,92,1,2803.2,1,1,0.5703
13206,49,10,5847.27,1,0,0.3364
13207,101,2,285.6,0,0,0.2135
13208,98,2,697.53,0,0,0.1821
13209,11,6,2936.75,0,0,0.011
13211,10,7,1398.21,0,0,0.0369
13213,33,6,2330.94,0,0,0.0408
13214,67,7,3264.23,1,0,0.0531
13215,51,1,81.6,1,1,0.9327
13217,305,1,132.5,0,1,0.7531
13219,268,1,76.23,1,1,0.9427
13220,225,1,516.8,0,0,0.1953
13221,9,1,498.16,0,0,0.2342
13222,227,1,88.5,1,1,0.9222
13223,73,4,805.92,0,0,0.2537
13225,11,9,9577.65,0,0,0.0031
13226,43,1,204.25,0,0,0.4544
13230,14,17,3447.33,0,0,0.0096
13233,70,2,571.34,0,0,0.3061
13234,322,1,118.10000000000001,1,1,0.8051
13237,37,1,643.0,1,1,0.5068
13238,10,3,397.05,0,0,0.2341
13239,86,4,1265.1299999999999,0,0,0.1497
13240,15,5,1030.76,0,0,0.1161
13241,61,1,112.53,1,1,0.6704
13242,101,4,429.0,0,0,0.1309
13243,99,4,635.26,0,0,0.2819
13245,82,1,558.72,0,0,0.4994
13246,43,5,1390.23,0,0,0.1375
13249,51,6,897.52,0,0,0.2078
13250,110,2,253.09,1,1,0.729
13251,52,1,252.68,1,1,0.5832
13252,44,2,399.3,1,1,0.5233
13253,80,2,1920.71,0,0,0.1435
13254,26,1,51.41,1,1,0.8079
13255,23,2,504.95,0,0,0.386
13257,86,1,149.75,1,1,0.7129
13258,29,2,336.59999999999997,0,0,0.4272
13259,47,8,1115.61,0,0,0.1529
13262,39,2,373.16,0,1,0.5585
13263,43,4,1239.27,0,0,0.2803
13264,92,1,722.5600000000001,1,1,0.5707
13266,63,6,2005.23,0,0,0.1121
13267,10,17,4907.68,0,0,0.006
13269,11,12,3329.59,0,0,0.0123
13270,16,1,590.0,1,1,0.6544
13274,59,1,360.85,1,1,0.5264
13275,33,2,238.86,1,0,0.3747
13276,47,3,1300.98,0,0,0.1343
13277,30,3,264.9,0,0,0.1669
13278,49,3,882.62,0,0,0.2376
13280,29,4,1494.8700000000001,0,0,0.142
13281,89,1,350.85,1,1,0.5346
13282,56,1,181.05,0,1,0.5054
13283,217,2,279.7,0,1,0.5087
13285,250,2,655.47,0,0,0.1908
13286,250,1,734.91,1,1,0.7882
13287,253,3,781.59,1,1,0.7065
13288,92,5,927.61,1,0,0.4196
13291,63,10,2909.68,0,0,0.058
13292,65,3,415.57,0,0,0.4337
13293,42,6,1192.94,1,1,0.5313
13294,296,1,815.79,0,1,0.5598
13295,9,4,1101.97,1,0,0.2968
13296,73,5,705.11,0,0,0.1828
13297,35,3,2278.77,0,0,0.0851
13299,73,2,1076.2,0,0,0.2966
13300,37,2,913.62,0,0,0.3916
13302,176,1,95.45,0,1,0.6524
13303,50,1,61.72,1,1,0.9342
13304,1,4,1217.99,1,1,0.7106
13305,22,7,1751.75,0,0,0.1033
13306,80,1,53.65,1,1,0.9281
13307,137,2,258.34,0,0,0.451
13308,246,1,284.86,0,1,0.6141
13309,42,1,249.58,0,1,0.538
13310,30,2,409.17,0,0,0.4187
13312,101,1,124.75,1,1,0.8081
13313,129,5,1506.1100000000001,0,0,0.1838
13315,339,1,310.26000000000005,1,1,0.8359
13316,42,6,7207.89,0,0,0.0253
13317,8,14,4033.64,0,0,0.0099
13319,4,33,10767.98,0,0,0.0618
13320,84,2,679.4,0,0,0.3632
13324,10,9,4041.62,0,0,0.019
13326,82,1,281.76,1,1,0.6278
13327,15,12,5255.9400000000005,0,0,0.0054
13329,16,6,3989.32,0,0,0.0873
13330,105,3,1655.17,0,0,0.2072
13331,51,1,262.4,1,1,0.5879
13333,61,3,1015.74,1,0,0.406
13334,186,2,2699.48,0,0,0.3417
13337,196,1,1575.26,1,1,0.717
13338,191,3,1908.6,0,0,0.1809
